year,situation1,situation2
1990,43.4,43.4
1991,44.4,44.4
1992,45.3,45.3
1993,46.2,46.2
1994,47.2,47.2
1995,48.1,48.1
1996,49.1,49.1
1997,50.1,50.1
1998,51.1,51.1
1999,52,52
2000,53,53
2001,54,54
2002,55.1,55.1
2003,56.2,56.2
2004,57.3,57.3
2005,58.4,58.4
2006,59.6,59.6
2007,60.8,60.8
2008,62.1,62.1
2009,63.3,63.3
2010,64.5,64.5
2011,65.8,65.8
2012,67.2,67.2
2013,68.5,67.1
2014,69.9,68.9
2015,71.3,69.4
2016,72.8,72.2
2017,74.2,73.5
2018,75.7,74.7
2019,77.3,76
2020,78.9,77.3
2021,80.5,78.6
2022,82.1,79.8
2023,83.7,81
2024,85.4,82.2
2025,87.1,83.4
2026,88.9,84.5
2027,90.6,85.6
2028,92.4,86.7
2029,94.2,87.7
2030,96.1,88.7
2031,97.9,89.7
2032,99.9,90.6
2033,101.8,91.5
2034,103.8,92.3
2035,105.8,93.2
2036,107.9,93.9
2037,110,94.7
2038,112.1,95.4
2039,114.5,96.1
2040,118.5,96.7
2041,118.7,97.3
2042,121,97.9
2043,123.3,98.5
2044,125.7,99
2045,128.1,99.6
2046,130.6,100.1
2047,133.1,100.6
2048,135.6,101
2049,138.2,101.5
2050,140.8,101.9
2051,143.5,102.3
2052,146.2,102.7
2053,149,103.1
2054,151.8,103.5
2055,154.6,103.8
2056,157.5,104.1
2057,160.4,104.4
2058,163.4,104.7
2059,166.4,105
2060,169.4,105.3
2061,172.5,105.5
2062,175.6,105.7
2063,178.7,105.9
2064,181.9,106.1
2065,185.1,106.3
2066,188.3,106.4
2067,191.6,106.6
2068,194.8,106.7
2069,198.1,106.8
2070,201.5,106.9
2071,204.8,107
2072,208.2,107
2073,211.6,107.1
2074,215,107.1
2075,218.4,107.2
2076,221.8,107.2
2077,225.3,107.3
2078,228.8,107.3
2079,232.2,107.3
2080,235.7,107.3
2081,239.3,107.3
2082,242.8,107.3
2083,246.3,107.3
2084,249.9,107.3
2085,253.4,107.3
2086,257,107.3
2087,260.6,107.3
2088,264.2,107.2
2089,267.7,107.2
2090,271.4,107.2
2091,275,107.2
2092,278.6,107.1
2093,282.2,107.1
2094,285.8,107.1
2095,289.4,107
2096,293.1,107
2097,296.7,106.9
2098,300.3,106.9
2099,304,106.8
2100,307.6,106.8
2101,311.3,106.7
2102,314.9,106.7
2103,318.6,106.6
2104,322.2,106.5
2105,325.8,106.5
2106,329.5,106.4
2107,333.1,106.3
2108,336.8,106.2
2109,340.4,106.2
2110,344,106.1
2111,347.7,106
2112,351.3,105.9
2113,355,105.8
2114,358.6,105.8
2115,362.2,105.7
2116,365.9,105.6
2117,369.5,105.5
2118,373.1,105.4
2119,376.8,105.3
2120,380.4,105.2
2121,384.1,105.1
2122,387.7,104.9
2123,391.3,104.8
2124,395,104.7
2125,398.6,104.6
2126,402.2,104.5
2127,405.9,104.4
2128,409.5,104.2
2129,413.1,104.1
2130,416.8,104
2131,420.4,103.9
2132,424,103.8
2133,427.7,103.7
2134,431.3,103.5
2135,434.9,103.4
2136,438.6,103.3
2137,442.2,103.2
2138,445.8,103.1
2139,449.5,103
2140,453.1,102.8
2141,456.7,102.7
2142,460.4,102.6
2143,464,102.5
2144,467.6,102.4
2145,471.3,102.2
2146,474.9,102.1
2147,478.5,102
2148,482.2,101.9
2149,485.8,101.8
2150,489.4,101.7
2151,493,101.5
2152,496.6,101.4
2153,500.1,101.3
2154,503.6,101.2
2155,507.1,101.1
2156,510.5,101
2157,513.9,100.8
2158,517.3,100.7
2159,520.6,100.6
2160,523.9,100.5
2161,527.2,100.4
2162,530.4,100.2
2163,533.6,100.1
2164,536.7,100
2165,539.8,99.9
2166,542.9,99.8
2167,546,99.7
2168,549,99.5
2169,552,99.4
2170,554.9,99.3
2171,557.9,99.2
2172,560.7,99.1
2173,563.6,99
2174,566.4,98.8
2175,569.2,98.7
2176,571.9,98.6
2177,574.7,98.5
2178,577.3,98.4
2179,580,98.2
2180,582.6,98.1
2181,585.2,98
2182,587.7,97.9
2183,590.2,97.8
2184,592.7,97.7
2185,595.1,97.5
2186,597.5,97.4
2187,599.9,97.3
2188,602.2,97.2
2189,604.5,97.1
2190,606.8,97
2191,609.1,96.8
2192,611.3,96.7
2193,613.4,96.6
2194,615.6,96.5
2195,617.6,96.4
2196,619.7,96.2
2197,621.7,96.1
2198,623.7,96
2199,625.7,95.9
2200,627.6,95.8