sector,year,amount
1,1990,8506.82
1,1991,8648.68
1,1992,8814.66
1,1993,8861.61
1,1994,8960.76
1,1995,9159.17
1,1996,9521.36
1,1997,9679.05
1,1998,9877.34
1,1999,9943.68
1,2000,10401.61
1,2001,10590.7
1,2002,10866.95
1,2003,11485.19
1,2004,11942.67
1,2005,12434.81
1,2006,12918.8
1,2007,13483.46
1,2008,13553.98
1,2009,13357.4
1,2010,14089
1,2011,14667.31
1,2012,14903.97
2,1990,4562.79
2,1991,4506.55
2,1992,4359.07
2,1993,4295.85
2,1994,4335.32
2,1995,4522.28
2,1996,4481.89
2,1997,4524.17
2,1998,4492.65
2,1999,4333.53
2,2000,4597.42
2,2001,4566.9
2,2002,4556.39
2,2003,4798.13
2,2004,5157.07
2,2005,5384.58
2,2006,5614.18
2,2007,5814.58
2,2008,5895.44
2,2009,5752.88
2,2010,6169.38
2,2011,6399.35
2,2012,6456.8
3,1990,4579.75
3,1991,4625.91
3,1992,4730.53
3,1993,4772.95
3,1994,4868.45
3,1995,4997.91
3,1996,5202.2
3,1997,5282.78
3,1998,5408.19
3,1999,5563.33
3,2000,5736.03
3,2001,5764.36
3,2002,5888.59
3,2003,6017.12
3,2004,6300.4
3,2005,6452.87
3,2006,6588.53
3,2007,6785.72
3,2008,6783.6
3,2009,6664.87
3,2010,6987.18
3,2011,7107.08
3,2012,7186.97
4,1990,3964.09
4,1991,3991.29
4,1992,3807.45
4,1993,3883.91
4,1994,3784.59
4,1995,3822.44
4,1996,3864.89
4,1997,3830.56
4,1998,3656.22
4,1999,3740.7
4,2000,3694.49
4,2001,3735
4,2002,3732.04
4,2003,3839.16
4,2004,3921.58
4,2005,3947.66
4,2006,3935.72
4,2007,3936.62
4,2008,3989.3
4,2009,3955.42
4,2010,4010.94
4,2011,3955.86
4,2012,3981.72
5,1990,1975.24
5,1991,2026.55
5,1992,1978.38
5,1993,1958.53
5,1994,1941.14
5,1995,1938.96
5,1996,1977.11
5,1997,1976.34
5,1998,1987.2
5,1999,2003.9
5,2000,2021.18
5,2001,2049.12
5,2002,2102.28
5,2003,2146.44
5,2004,2205.34
5,2005,2295.22
5,2006,2331.11
5,2007,2386.79
5,2008,2450.24
5,2009,2472.47
5,2010,2497.04
5,2011,2525.27
5,2012,2569.69
6,1990,1125.63
6,1991,1145.83
6,1992,1173.36
6,1993,1211.88
6,1994,1254.06
6,1995,1299.91
6,1996,1336.79
6,1997,1373.68
6,1998,1388.58
6,1999,1432.79
6,2000,1480.67
6,2001,1552.29
6,2002,1638.56
6,2003,1757.81
6,2004,1869.74
6,2005,1981.66
6,2006,2126.33
6,2007,2234.36
6,2008,2265.44
6,2009,2369.8
6,2010,2503.48
6,2011,2722.5
6,2012,2839.58
7,1990,4561.18
7,1991,4539.83
7,1992,4544.3
7,1993,4513.35
7,1994,4545.16
7,1995,4591.8
7,1996,4601.67
7,1997,4585.7
7,1998,4619.79
7,1999,4667.57
7,2000,4655.8
7,2001,4683.48
7,2002,4736.08
7,2003,4761.2
7,2004,4847.62
7,2005,4906.31
7,2006,4977.97
7,2007,5077.7
7,2008,5152.65
7,2009,5211.19
7,2010,5239.7
7,2011,5329.97
7,2012,5381.51
8,1990,1148.26
8,1991,1163.83
8,1992,1179.41
8,1993,1194.99
8,1994,1210.56
8,1995,1226.14
8,1996,1240.79
8,1997,1255.45
8,1998,1270.11
8,1999,1284.76
8,2000,1299.42
8,2001,1315.3
8,2002,1331.17
8,2003,1347.05
8,2004,1362.93
8,2005,1378.81
8,2006,1397.32
8,2007,1415.83
8,2008,1434.34
8,2009,1452.85
8,2010,1471.36
8,2011,1483.33
8,2012,1495.29
9,1990,3513.47
9,1991,2632.13
9,1992,2708.1
9,1993,2715.51
9,1994,2728.88
9,1995,2751.37
9,1996,2753.35
9,1997,2904.97
9,1998,2983.88
9,1999,2858.4
9,2000,2793.1
9,2001,3108.89
9,2002,3271.16
9,2003,3297.37
9,2004,3233.71
9,2005,3219.04
9,2006,2889.44
9,2007,2780.74
9,2008,2847.43
9,2009,2765.67
9,2010,2779.62
9,2011,2715.06
9,2012,2783.02
10,1990,619.55
10,1991,628.37
10,1992,665.39
10,1993,660.9
10,1994,685.52
10,1995,710.23
10,1996,729.24
10,1997,755.71
10,1998,779.16
10,1999,814.59
10,2000,839.89
10,2001,807.65
10,2002,845.28
10,2003,851.84
10,2004,934.47
10,2005,985.06
10,2006,1035.61
10,2007,1079.23
10,2008,1087.47
10,2009,1042.81
10,2010,1111.29
10,2011,1133.07
10,2012,1079.99